通用名称
紫杉醇
恩必普
阿莫西林
净石灵
曲安奈德
赛可平
佰莫亭
头孢曲松钠
氯氮平
西咪替丁
维C银翘
奋乃静
复方黄松
比卡鲁胺
吡罗昔康
阿昔洛韦
阿洛刻
孟鲁司特钠
菲迅奇
卡马西平
痔速宁
复方石韦
阿法骨化醇
长建宁
利巴韦林
迈恩希
盐酸尼莫司汀
吲哚美辛
更昔洛韦
尼莫地平
辛伐他汀
羧甲司坦
复力生
尤脱欣
盐酸利托君
洛索洛芬钠
法莫替丁
益血生
雅博司
奥力宝
先立晓
合贝爽
福多司坦
米卡芬净钠
阿托伐他汀钙
迪可罗
西维尔
阿洛西林
倍他米松
盐酸奥昔布宁
伊曲康唑
布洛芬
盐酸伐昔洛韦
盐酸倍他司汀
妇宁康
氯雷他定
百赛诺
芬布芬
派立明
西其汀
非那雄胺
黄体酮
金诺尔曼
克迪圣
依帕司他
奥克特珐玛
曲克芦丁
归真堂
亚宝欣
普乐康
石杉碱甲
帕斯坦
维予清
桑海金维
丁桂儿脐贴
舒丽启能
阿法迪三
欣得生
奥泰灵
萌尔夫
希舒美
美尔瑞
奥克清
典必殊
醋酸曲安西龙
佳乐宁
荷莫塞
烟酸占替诺
丽珠威
美多丽
托西酸舒他西林
缬沙坦
拉米夫定
顽癣净
阿茉立
司帕沙星
左乙拉西坦
达菲林
赖诺普利
冬凌草
弥可保
奥思平
武生旺宁
复方白芷酊
倍得芬
美沙拉秦栓
君瑞清
达力新
格芬特
博可保
新福欣
诺安平
布美他尼
普奈新
米诺地尔
凯莱通
怡宁适
莎普爱思
尼为孚
卡培他滨
森泰保
芬迪宁
丁香罗勒
得宝松
静可福
茴拉西坦
舍尼亭
金达克宁
阿法根
达芙通
帕尼
优立新
保力津
德益宁
优贺丁
畅维禧
西比康
洛莫司汀
锋可耐
奇比特
替吉奥
三乐喜
森福罗
特普欣
悦敏兴
吗丁啉
适利达
可普芬
斯必克
妥塞敏
双成博维
森澳欣
奥拉西坦
斯利安
宝乐安
达芬霖
欣匹特
仙特明
奥勃兰
悦达宁
麦芙欣
法罗培南钠
英路因
美唯宁
丽科明
奥司惠
立健克
嘉诺欣
盐酸西布曲明
可尼尤
瑞立速
依木兰
特美汀
酞丁安
甲强龙
西同静
亚宝力维
丽科杰
可益能
力比泰
西可韦
神经妥乐平
胆石利通
达力芬
氟伐他汀钠
莱沃幸
宇立森
奥博林
维洁信
特苏尼
金施尔康
可达龙
达芬盖
莱福隆
克廷肤
固尔苏
悦复隆
泰勒宁
左卡尼汀
麦通纳
多贝斯
复仙安
西艾克
帕迪星
绿汀诺
阿米福汀
康威迪克
赛乐林
达芬蓉
新达罗
泰必捷
喜安林
得必泰
瑞呋欣
新山地明
因特芬
蓉生静丙
小施尔康
敏使朗
诺仕帕
卡林优
欣普贝生
明欣利迪
普美拉泰
希爱力
彼迪明
天甲元
德巴金
凯尔丁
希福尼
依利康
银力舒
延帕瑞
真侗言
托拉塞米
达希纳
洛沃克
丽珠得乐
研立双
卡维安
塞克硝唑
优思弗
彼洛彤
依伦定
莎尔福
博利康尼
欣洛平
仁格多那
达芙文
洛斯宝
希路信
迈可抒
瑞安吉
威利宁
开瑞坦
专注达
立思丁
得舒特
依姆多
拜新同
迪诺新
万他维
思力华
百力特
尼达尔
达维邦
尼立苏
特苏安
美卓乐
克瑞帕
恬尔新
普拉固
艾瑞得安
埃美丁
英迪特
喜格迈
降力舒
丽生斯泰
科莫非
丽科伟
復安欣
考孚亭
蓉生逸普
留可然
立复汀
泰尔丝
赫立可
希瓦丁
维柳芬
赐尔泰
益坤宁酊
诺碧松
瑞那替
赛克同
怡美宁
宫福伊康
科芬汀
怡罗泽
纳诺卡
远策欣
维尔固
维奥欣
洛普星
迪克乐克
谱乐益
可尔生
美常安
联邦左福康
赛乐特
凯复定
赛灵斯
维思通
奇莫欣
锋泰灵
威利坦
恬尔心
星安忆
思美泰
捷可达
恩普洛
新泪然
格华止
力特辛
德瑞宁
津得斯
黛力新
怡力昕
东菱迪芙
安步乐克
新达苏
阿瑞斯
斯皮仁诺
诺止林
波立维
思考林
匹服平
雷特迈星
瑞易宁
立芷雪
赛美维
麦特美
斯奇康
贝克诺顿
迈平希
复达欣
立健新
尼迪多
威保啶
捷佰立
埃斯玛隆
麦丁昕
布累迪宁
欣诺舒
纳德来
显克欣
长生扶康
喜辽妥
思为普
力尔宁
力百汀
金康灵力
怡神保
优必达
铃兰欣
思博海
赛若金
悦康凯欣
思利巴
益玛欣
丽科吉
恩经复
维尔坦
美力泰
知维保
比亚芬
固泰宁
替米沙坦
天泉维康
诺福丁
思密达
立贝甲
君维清
美克威
锋珠新
阿尔马尔
欣母沛
丽申宝
迈米欣
康宁克通
欣吉尔
瑞血新
西博特欣
律定方
阿赛松
唯诺平
多力康
因特康
保列治
诺美舒
沐舒坦
佳维体
延迪诺
科泰复
力邦特
诺力思
瑞必补尔
彼迈乐
安的克妥
迪恩安
博曼欣
普力得
济生风痛灵
力克雷
达霏欣
声诺维
善普兰
培菲康
健豪宁
新赛斯平
倍泰龙
赫泰林
欣可来
毓罗纾
尼洛替尼
信立欣
奥麦伦
德艾欣
恩瑞格
新维熹
皿治林
普丽康
美多芭
泰舒达
尼膜同
丽珠奇乐
盐酸索他洛尔
邦瑞得
麦普宁
